driver_age_band,driver_experience,time_of_day,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
31-50,1-2yr,Morning,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Unknown,Lorry,Other,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,2-5yrs,Pickup,Raining,Asphalt roads,Daylight,Employee,Governmental,Unknown,Slight Injury
31-50,1-2yr,Afternoon,2-5yrs,Automobile,Raining,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,5-10yrs,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,Below 1yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,Unknown,Slight Injury
31-50,Unknown,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Unknown,Unknown,No defect,Slight Injury
31-50,Unknown,Night,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Unknown,Governmental,Unknown,Serious Injury
18-30,1-2yr,Evening,2-5yrs,Automobile,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
18-30,2-5yr,Evening,2-5yrs,Automobile,Raining,Asphalt roads,Darkness - lights lit,Owner,Owner,Unknown,Serious Injury
18-30,Unknown,Afternoon,Unknown,Other,Windy,Other,Darkness - no lighting,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Evening,Unknown,Pickup,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Darkness - no lighting,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Below 1yr,Automobile,Raining,Unknown,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,2-5yrs,Lorry,Raining,Other,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Unknown,Lorry,Raining,Asphalt roads,Darkness - no lighting,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,5-10yrs,Lorry,Raining,Asphalt roads,Darkness - no lighting,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
18-30,2-5yr,Afternoon,1-2yr,Automobile,Normal,Asphalt roads with some distress,Daylight,Owner,Owner,5,Slight Injury
