driver_age_band,driver_experience,time_of_day,vehicle_type,weather,road_surface,light_condition,Accident_severity
31-50,2-5yr,Afternoon,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Unknown,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Public_transport,Normal,Asphalt roads,Daylight,Slight Injury
18-30,1-2yr,Afternoon,Public_transport,Cloudy,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,Unknown,Afternoon,Automobile,Cloudy,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,1-2yr,Afternoon,Public_transport,Cloudy,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Afternoon,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,1-2yr,Afternoon,Lorry,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,2-5yr,Morning,Pickup,Snow,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Pickup,Snow,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Lorry,Snow,Asphalt roads,Daylight,Slight Injury
Over 51,2-5yr,Afternoon,Automobile,Snow,Asphalt roads,Daylight,Slight Injury
Over 51,2-5yr,Afternoon,Automobile,Snow,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Snow,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Morning,Other,Snow,Asphalt roads,Daylight,Slight Injury
31-50,Above 10yr,Morning,Automobile,Snow,Gravel roads,Daylight,Slight Injury
18-30,Above 10yr,Evening,Automobile,Snow,Asphalt roads,Darkness - no lighting,Slight Injury
Over 51,2-5yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,1-2yr,Evening,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,2-5yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,5-10yr,Evening,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Unknown,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
Unknown,1-2yr,Afternoon,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
Under 18,Unknown,Afternoon,Automobile,Snow,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Morning,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Above 10yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Public_transport,Cloudy,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,1-2yr,Evening,Automobile,Cloudy,Asphalt roads,Darkness - lights lit,Slight Injury
Over 51,Above 10yr,Afternoon,Other,Other,Earth roads,Darkness - lights lit,Slight Injury
31-50,2-5yr,Afternoon,Other,Other,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,2-5yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
